Название,Последний  релиз,Последний  релиз,Последний  релиз пред,Последний коммит пред,Текущая версия,Описание,Приотритет,Имя папки,Ссылка на GitHub,Уст компоненты,РидМи,Комментарий,Категория,,,,,,,,,
Sarah NPC,N/A,N/A,N/A,N/A,,Добавляет следопыта Сару с романом для женских персонажей.,118,sarahtob,https://github.com/Gibberlings3/Sarah/releases/download/v8/sarahtob-v8.exe,0,Есть,,NPC,,,,,,,,,
Tyris Flare NPC,N/A,2023-08-31,N/A,N/A,,Воин/маг из Умар Хиллз.,119,tyrisflare,https://github.com/Gibberlings3/TyrisFlare/releases/download/v12/tyrisflare-v12.exe,0,Есть,,NPC,,,,,,,,,
Mur'Neth NPC,2004-09-28,2023-11-01,N/A,N/A,,Слизеподобный спутник (Ghaunadan).,121,mur'neth,https://github.com/Gibberlings3/Murneth/releases/download/v14/mur.neth-v14.exe,0,Есть,,NPC,,,,,,,,,
Finch NPC,2005-03-06,2021-07-31,N/A,N/A,,NPC-клирик-гном в Candlekeep.,122,FinchNPC,https://github.com/Pocket-Plane-Group/Finch_NPC/releases/download/v6.0/finch-npc-mod-v6.0.zip,0,Есть,,NPC,,,,,,,,,
Arath NPC,2012-02-14,N/A,N/A,N/A,,Добавляет друида Арата с романтической линией для обоих полов.,123,arath,https://github.com/Spellhold-Studios/Arath-NPC/releases/download/v6/arath-v6.zip,0,Есть,,NPC,,,,,,,,,
Gavin NPC,N/A,N/A,N/A,N/A,,Добавляет жреца Латандера Гэвина с романтической линией.,124,gavin_bg2,https://github.com/Gibberlings3/Gavin_BG2/releases/download/v24/gavin_bg2-v24.exe,11 1 3,Есть,,NPC,,,,,,,,,
Cernd Romance,2026-01-10,2026-01-10,N/A,N/A,,Добавляет романтическую линию с друидом Серндом.,125,cernd,https://github.com/Spellhold-Studios/Cernd-Friendship/releases/download/v1.4/cernd-friendship-v1.4.zip,0,Есть,,NPC,,,,,,,,,
Ninde NPC,,,,,,,126,ninde,https://github.com/Spellhold-Studios/Ninde-NPC/releases/download/v3.0/ninde-npc-for-bgii-v3.0.zip,0,Есть,,NPC,,,,,,,,,
Yeslick-NPC,,,,,,,127,yeslicknpc,https://github.com/Spellhold-Studios/Yeslick-NPC/releases/download/v5.0/yeslick-npc-v5.0.zip,1,Есть,,NPC,,,,,,,,,
Grey_The_Dog,,,,,,,129,c#greythedog,https://github.com/Gibberlings3/Grey_The_Dog/releases/download/v10/grey-the-dog-npc-10.zip,0 10,Есть,нет exe,NPC,,,,,,,,,
Valen NPC,2002-05-15,N/A,N/A,N/A,,Позволяет вампирше Вален стать полноценным спутником.,150,valen,https://github.com/hellmouse/valen/archive/refs/tags/v0.0.1.zip,0 11,Есть,,NPC,,,,,,,,,
BG1NPC,N/A,N/A,N/A,N/A,,,186,bg1npc,https://github.com/Gibberlings3/BG1NPC/releases/download/v32/the-bg1npc-project-v32.zip,0 10 22 32 42 52 62 72 80 90 110 130 240 150 155 160 200,Есть,,NPC - global,,,,,,,,,
Ajantis NPC,N/A,N/A,N/A,N/A,,Возвращает паладина Ажантиса в BG2.,187,ajantisbg1,https://github.com/Gibberlings3/Ajantis_BG1_Expansion/releases/download/v22/ajantis-bg1-expansion-modification-22.zip,0 30,Есть,,NPC,,,,,,,,,
Brage's Redemption,2019-06-25,15-01-2026,N/A,N/A,10.1,"Расширяет квест ""Меч Брага"" из BGQE.",188,c#brage,https://github.com/Gitjas/Brages_Redemption/releases/download/v10.1/brages-redemption-brage-npc-10.1.zip,0 1 5 10,Есть,10 после др NPC модов,Квесты,,,,,,,,,
BG1_Romantic_Encounters,,,,,,,190,bg1re,https://github.com/Gibberlings3/BG1_Romantic_Encounters/releases/download/v16/baldurs-gate-romantic-encounters-modification-bg1re-16.zip,103 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44,Есть,,NPC - global,,,,,,,,,
Romantic_Encounters_BG2,,,,,,,191,RE,https://github.com/Gibberlings3/Romantic_Encounters_BG2/releases/download/v15/RE_v15.zip,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54,Есть,,NPC - global,,,,,,,,,
IEP-Extended-Banters,N/A,N/A,N/A,N/A,,Добавляет новые диалоги между спутниками,192,iepbanters,https://github.com/Spellhold-Studios/IEP-Extended-Banters/releases/download/v5.9/iep-extended-banters-v5.9.zip,0 1 2 3 4 5 9,Есть,,NPC - global,,,,,,,,,
NPC_Flirt_Packs,N/A,N/A,N/A,N/A,,Добавляет флирт для романтических линий,193,npcflirt,https://github.com/Pocket-Plane-Group/NPC_Flirt_Packs/releases/download/v1.07/NPCFlirtV107.zip,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,Есть,,NPC - global,,,,,,,,,
Crossmod Banter Pack,N/A,N/A,N/A,N/A,,Добавляет бантеры между NPC из разных модов.,194,crossmodbg2,https://github.com/Gibberlings3/Crossmod_Banter_Pack_for_Baldurs_Gate_II/releases/download/v30/crossmodbg2-v30.exe,0 1 2 ,Есть,,NPC - global,,,,,,,,, 
Road To Discovery,,,,, ,"Добавляет конетнет в СОД, общение с крестоносцами и систему Тракинга???",195,sodrtd,https://github.com/Gibberlings3/Road_To_Discovery_for_SoD/releases/download/v6/road-to-discovery-for-sod-6.0.zip,0 10 20 30 40 50 60 70 ,Есть,,Доп. контент,,,,,,,,,
NPC_EE,N/A,2024-11-26,N/A,N/A,,"Позволяет менять классы, киты и характеристики всех NPC.",350,npc_ee,https://github.com/UnearthedArcana/NPC_EE/archive/refs/tags/6.6.zip,2000,Есть,"либо это либо из SCS
дает книгу меняющую класс/кит/навыки",NPC - global,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Доп контент,,,,,,,,,,,,,,,,,,,,,,
Endless BG1,27-01-2026,27-01-2026,N/A,N/A,20.2,Позволяет остаться в мире BG1 после убийства Саревока.,9,c#endlessbg1,https://github.com/Gibberlings3/EndlessBG1/releases/download/v20.2/endless-bg1-mod-20.2.zip,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,Есть, ,Доп. контент,,,,,,,,,
Unfinished Business BG1,,,,,,,,,,,,,Доп. контент,,,,,,,,,
Unfinished Business BG2,20-05-2026,03-01-2021,N/A,N/A,28,Восстанавливает вырезанный контент,8,ub,https://github.com/Pocket-Plane-Group/UnfinishedBusiness/releases/download/v28/ub-v28.zip,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 21 22 23 24 25 ,Есть,,Доп. контент,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Твики,,,,,,,,,,,,,,,,,,,,,,
Project_Javelin,,,,,,добавляет оружие - легкое копье,200,cd_project_javelin,https://github.com/Gibberlings3/Project_Javelin/releases/download/Beta1/cd_project_javelin-Beta_1.exe,1,Есть,,Item tweaks,,,,,,,,,
Item Revisions,2016,2019,N/A,N/A,,Перерабатывает предметы,201,item_rev,https://github.com/Gibberlings3/ItemRevisions/releases/download/v4b10/item_rev-v4b10.exe,0 1030 1040 1101 10 17 18 1200 12 16 1060 1070,https://htmlpreview.github.io/?https://github.com/Gibberlings3/Documentation/blob/master/readmes/readme-item_rev.html, ,Item tweaks,,,,,,,,,
Spell Revisions,N/A,N/A,N/A,N/A,,Полностью перерабатывает книгу заклинаний магов и жрецов.,202,spell_rev,https://github.com/Gibberlings3/SpellRevisions/releases/download/v4.21/spell_rev-v4-21.zip,0 10 20 30 60 ,https://gibberlings3.github.io/SpellRevisions/, ,spell tweaks, ,,,,,,,,
Item Upgrade Mod,N/A,N/A,N/A,N/A,,Позволяет Кромвелю и Сеспенару улучшать больше предметов.,203,itemupgrade,https://github.com/Pocket-Plane-Group/Item_Upgrade/releases/download/v57/itemupgrade-v57.exe,0 1 12,Есть,,Item tweaks,,,,,,,,,
SubtleD's Spell Tweaks,N/A,,N/A,,,"Меняет конкретные заклинания, добавляет заговоры и другов", ,SubtleD_Spell_Tweaks,https://github.com/subtledoctor/SubtleD_Spell_Tweaks/archive/refs/tags/2.9.2.zip,22 36 40 45 50 55 81 82 83 1152 1151 1202 1205 1207 1212 1251 1323 1351 1404 1409 1413 1451 1505 1603 1609 1613 1614 1707 1710 2105 2104 2108 2116 2201 2212 2213 2224 2251 2316 2324 2352 2413 2418 2451 2508 2514 2518 25232 2708  2711 2714 2808 2811 2916 2915 2923 ,https://github.com/subtledoctor/SubtleD_Spell_Tweaks, ,spell tweaks,,,,,,,,,
